MitoCOG0001,NADH dehydrogenase subunit 2
MitoCOG0002,cytochrome c oxidase subunit 1
MitoCOG0003,cytochrome c oxidase subunit 2
MitoCOG0004,ATP synthase subunit 6
MitoCOG0005,cytochrome c oxidase subunit 3
MitoCOG0006,NADH dehydrogenase subunit 3
MitoCOG0007,NADH dehydrogenase subunit 4L
MitoCOG0008,NADH dehydrogenase subunit 4
MitoCOG0009,NADH dehydrogenase subunit 5
MitoCOG0010,NADH dehydrogenase subunit 6
MitoCOG0011,cytochrome b
MitoCOG0012,NADH dehydrogenase subunit 1
MitoCOG0013,LAGLIDADG endonuclease
MitoCOG0014,ATP synthase subunit 9
MitoCOG0015,DNA mismatch repair protein MutS
MitoCOG0016,reverse transcriptase and maturase
MitoCOG0017,hypothetical protein
MitoCOG0018,DNA polymerase
MitoCOG0019,reverse transcriptase
MitoCOG0020,reverse transcriptase
MitoCOG0021,Sec-independent transporter protein TatC
MitoCOG0022,hypothetical protein
MitoCOG0023,hypothetical protein
MitoCOG0024,hypothetical protein
MitoCOG0025,ribosomal protein S3
MitoCOG0026,ribosomal protein S19
MitoCOG0027,ribosomal protein L2
MitoCOG0028,hypothetical protein
MitoCOG0029,NADH dehydrogenase subunit 10
MitoCOG0030,ribosomal protein S12
MitoCOG0031,NADH dehydrogenase subunit 7
MitoCOG0032,hypothetical protein
MitoCOG0033,hypothetical protein
MitoCOG0034,hypothetical protein
MitoCOG0035,hypothetical protein
MitoCOG0036,hypothetical protein
MitoCOG0037,hypothetical protein
MitoCOG0038,hypothetical protein
MitoCOG0039,ribosomal protein L16
MitoCOG0040,cytochrome c maturation protein ccmFN
MitoCOG0041,hypothetical protein
MitoCOG0042,hypothetical protein
MitoCOG0043,NADH dehydrogenase subunit 9
MitoCOG0044,hypothetical protein
MitoCOG0045,hypothetical protein
MitoCOG0046,hypothetical protein
MitoCOG0047,hypothetical protein
MitoCOG0048,ribosomal protein L14
MitoCOG0049,hypothetical protein
MitoCOG0050,hypothetical protein
MitoCOG0051,succinate dehydrogenase subunit 3
MitoCOG0052,succinate dehydrogenase subunit 2
MitoCOG0053,ribosomal protein L6
MitoCOG0054,ribosomal protein S11
MitoCOG0055,ribosomal protein S14
MitoCOG0056,ribosomal protein S3
MitoCOG0057,cytochrome c biogenesis protein ccmC
MitoCOG0058,LAGLIDADG endonuclease
MitoCOG0059,ATP synthase subunit 1
MitoCOG0060,ribosomal protein L11
MitoCOG0061,ribosomal protein S7
MitoCOG0062,hypothetical protein
MitoCOG0063,ribosomal protein S8
MitoCOG0064,ribosomal protein S13
MitoCOG0065,hypothetical protein
MitoCOG0066,NADH dehydrogenase subunit 11
MitoCOG0067,ribosomal protein S4
MitoCOG0068,LAGLIDADG endonuclease
MitoCOG0069,LAGLIDADG endonuclease
MitoCOG0070,ribosomal protein L20
MitoCOG0071,NADH dehydrogenase subunit 8
MitoCOG0072,ribosomal protein S10
MitoCOG0073,ribosomal protein L5
MitoCOG0074,ribosomal protein S1
MitoCOG0075,succinate dehydrogenase subunit 4
MitoCOG0076,ATP synthase subunit 4
MitoCOG0077,hypothetical protein
MitoCOG0078,hypothetical protein
MitoCOG0079,hypothetical protein
MitoCOG0080,ribosomal protein S2
MitoCOG0081,hypothetical protein
MitoCOG0082,ribosomal protein L31
MitoCOG0083,hypothetical protein
MitoCOG0084,hypothetical protein
MitoCOG0085,hypothetical protein
MitoCOG0086,cytochrome c biogenesis protein ccmB
MitoCOG0087,cytochrome c biogenesis protein ccmFC
MitoCOG0088,maturase
MitoCOG0089,hypothetical protein
MitoCOG0090,hypothetical protein
MitoCOG0091,reverse transcriptase
MitoCOG0092,ribosomal protein L10
MitoCOG0093,LAGLIDADG endonuclease
MitoCOG0094,hypothetical protein
MitoCOG0095,RNA polymerase
MitoCOG0096,RNA polymerase
MitoCOG0097,maturase
MitoCOG0098,hypothetical protein
MitoCOG0099,hypothetical protein
MitoCOG0100,hypothetical protein
MitoCOG0101,hypothetical protein
MitoCOG0102,hypothetical protein
MitoCOG0103,hypothetical protein
MitoCOG0104,hypothetical protein
MitoCOG0105,hypothetical protein
MitoCOG0106,hypothetical protein
MitoCOG0107,hypothetical protein
MitoCOG0108,hypothetical protein
MitoCOG0109,hypothetical protein
MitoCOG0110,hypothetical protein
MitoCOG0111,hypothetical protein
MitoCOG0112,hypothetical protein
MitoCOG0113,hypothetical protein
MitoCOG0114,ribosomal protein VAR1
MitoCOG0115,hypothetical protein
MitoCOG0116,LAGLIDADG endonuclease
MitoCOG0117,LAGLIDADG endonuclease
MitoCOG0118,LAGLIDADG endonuclease
MitoCOG0140,ATP synthase subunit 8
MitoCOG0133,ATP synthase subunit 3
MitoCOG0139,ribosomal protein L1
MitoCOG0138,ribosomal protein L18
MitoCOG0137,ribosomal protein L19
MitoCOG0136,ribosomal protein L27
MitoCOG0135,ribosomal protein L34
MitoCOG0134,ribosomal protein L32
MitoCOG0132,cytochrome c biogenesis protein ccmA
MitoCOG0131,Sec-independent transporter protein TatA
MitoCOG0130,elongation factor Tu
MitoCOG0129,SecY-type transporter protein
MitoCOG0128,cytochrome oxidase assembly protein 11
MitoCOG0119,RNA polymerase subunit alpha
MitoCOG0120,RNA polymerase subunit beta
MitoCOG0121,RNA polymerase subunit beta'
MitoCOG0122,RNA polymerase sigma factor
MitoCOG0123,cytochrome c biogenesis protein ccmB
MitoCOG0124,ribosomal protein L35
MitoCOG0125,cytochrome oxidase assembly protein 15
MitoCOG0126,ribosomal protein L36
MitoCOG0127,ribosomal protein S16
